angle_deg,dice,iou
-82.0,0.9230363663704361,0.8570729201501773
-80.0,0.92137523237178,0.8542129385715712
-78.0,0.9203927304354936,0.8525255029143729
-76.0,0.9194873149909008,0.8509731794431987
-74.0,0.9179650149576433,0.8483690709147534
-72.0,0.9162517415648497,0.8454470255738609
-70.0,0.9145714911385914,0.8425902615161245
-68.0,0.9129635603838276,0.8398647249637656
-66.0,0.9119724861162011,0.8381888090870462
-64.0,0.9107128735987107,0.8360631935561932
-62.0,0.9095171721782233,0.8340499721531336
-60.0,0.9080092570726869,0.83151735759094
-58.0,0.9067798854945944,0.8294577399948772
-56.0,0.9053625967215102,0.8270890378950211
-54.0,0.9041792347238822,0.825115989197424
-52.0,0.9033083038197876,0.8236665846618688
-50.0,0.9020959992388564,0.8216528937078839
-48.0,0.9010535540779973,0.8199248993630661
-46.0,0.9002320893572632,0.8185655179110845
-44.0,0.8992812346121988,0.8169945520056318
-42.0,0.8981982412084292,0.8152085745384461
-40.0,0.8961766380242461,0.8118841011121226
-38.0,0.8945178312820258,0.8091653186223678
-36.0,0.8932997550415207,0.8071740826939413
-34.0,0.8926982040253221,0.80619232017008
-32.0,0.8926678259540234,0.8061427698721954
-30.0,0.893157616162311,0.8069420083693566
-28.0,0.8931401416645489,0.8069134813576995
-26.0,0.8925032144910978,0.8058743159972123
-24.0,0.8919454780223558,0.8049653336826972
-22.0,0.8909335298632565,0.8033184248671839
-20.0,0.890647663251752,0.802853731630866
-18.0,0.8913255044443003,0.8039559925093633
-16.0,0.8912102990204404,0.8037685579448485
-14.0,0.8902845717687101,0.8022638499202288
-12.0,0.8883622497616778,0.7991472487968524
-10.0,0.8860200143993966,0.7953643924057558
-8.0,0.8842698018624737,0.7925480580686743
-6.0,0.8831639148030629,0.7907730834532717
-4.0,0.882683537189706,0.7900031607603498
-2.0,0.883066452326771,0.7906168224299065
0.0,0.8827987430930839,0.7901877460621562
2.0,0.8827614472096359,0.7901279856525638
4.0,0.8819118456254862,0.7887677211989153
6.0,0.8814805112463956,0.7880779191685363
8.0,0.8814021702787319,0.7879526911815656
10.0,0.8810406518903833,0.78737503143329
12.0,0.8804755254335326,0.7864727796812966
14.0,0.8803292488296888,0.7862393903828817
16.0,0.8796318361106398,0.7851274826098201
18.0,0.8787720329473194,0.7837585743221392
20.0,0.8770673884102096,0.7810507766521293
22.0,0.8749887719043423,0.7777600347913538
24.0,0.8725971190284082,0.7739887255533773
26.0,0.8706198687705703,0.77088293365213
28.0,0.8694143747848373,0.768994718661294
30.0,0.868705029091229,0.7678855218399822
32.0,0.8685167830161614,0.7675913968316216
34.0,0.8690738229877628,0.7684620275425449
36.0,0.8702661672565136,0.7703284986545264
38.0,0.8717946757595681,0.77272696470078
40.0,0.8733901971124818,0.7752375266698099
42.0,0.8747087360097788,0.7773176278896093
44.0,0.8765007463170874,0.780152495378928
46.0,0.8787344277675335,0.7836987503486371
48.0,0.8806730307716921,0.7867880029539986
50.0,0.8826516445353955,0.7899520684114492
52.0,0.8851459883118215,0.793956858056671
54.0,0.8882327859843281,0.7989377405509703
56.0,0.8920459810108031,0.8051290628690803
58.0,0.8961612928792757,0.8118589129899614
60.0,0.9000097933601019,0.8181980056980057
62.0,0.9039732983525715,0.8247730616360138
64.0,0.9076716530974248,0.8309512937856405
66.0,0.9103325437897344,0.8354223470670247
68.0,0.9132778727019785,0.840396868491776
70.0,0.9170048296571894,0.8467303038543758
72.0,0.9192508203342385,0.8505681407211719
74.0,0.9209759508193978,0.8535268064866355
76.0,0.922443836044184,0.8560517464424321
78.0,0.9238261464368496,0.8584357846811774
80.0,0.9249413400861957,0.8603636011455926
82.0,0.925538049442884,0.8613967660399571
84.0,0.9258481674223304,0.8619341692138149
86.0,0.9248644692464844,0.8602305874853631
88.0,0.9235212569316081,0.8579094226228804
90.0,0.921743020925572,0.854845402175642
92.0,0.9197204716993448,0.8513726749465673
94.0,0.9184748741562216,0.8492404403824192
96.0,0.9169606360938463,0.8466549477820288
98.0,0.9144865214087121,0.8424460307904017
100.0,0.9122405255519173,0.8386417650048769
102.0,0.910488122581019,0.8356844394738828
104.0,0.9089348203815127,0.8330710551127111
106.0,0.9077161262301865,0.831025842299927
108.0,0.9070284755863309,0.8298738396436373
110.0,0.9067226480862384,0.829361960621463
112.0,0.9066873034775781,0.8293028210150156
114.0,0.906787854619601,0.8294710760865824
116.0,0.9063358857713355,0.828715026834864
118.0,0.9058604044012926,0.8279203202637141
120.0,0.9051864500262552,0.8267950739630168
122.0,0.9043385174635777,0.8253813170196165
124.0,0.9040823439382345,0.8249546295176038
126.0,0.9036593878511054,0.8242505821980616
128.0,0.9027991948042083,0.8228203903323849
130.0,0.9015685469461615,0.8207781600204889
132.0,0.9006551713642175,0.8192653914439872
134.0,0.8995443961487861,0.8174290657439446
136.0,0.8984864504453017,0.8156835209231216
138.0,0.8975286029850404,0.8141060216302934
140.0,0.8967970851740068,0.8129031143064532
142.0,0.8964153228498135,0.8122759779201073
144.0,0.8955556445812897,0.8108653371149441
146.0,0.8947732904976029,0.8095834843698756
148.0,0.8943199853497742,0.8088415938608478
150.0,0.8934424196874291,0.8074070754050205
152.0,0.8921241760253906,0.8052564707340673
154.0,0.8910177310983669,0.8034553446745868
156.0,0.8899940504340133,0.8017921442511201
158.0,0.8892180919315384,0.8005334669861518
160.0,0.8884539371496855,0.7992956539033942
162.0,0.8880626864193393,0.7986625465059712
164.0,0.888321269302291,0.7990809257857845
166.0,0.888837320774384,0.7999164635315384
168.0,0.8886822483755583,0.7996653046138683
170.0,0.8881082591513313,0.798736267681482
172.0,0.8877310988238424,0.7981263324769038
174.0,0.8872726720305655,0.7973855316825094
176.0,0.8865642404018086,0.7962419320192711
178.0,0.8865188863138994,0.79616876785556
180.0,0.8858356650126613,0.7950673318067822
-95.0,0.9246567701438367,0.8598712899020323
-94.75,0.9248715259959989,0.86024279735759
